"YahooSymbol","PriceDate","Close"
"MRG-UN.TO","19-01-15",10.26
"MRG-UN.TO","20-01-15",10.37
"MRG-UN.TO","21-01-15",10.36
"MRG-UN.TO","22-01-15",10.48
"MRG-UN.TO","23-01-15",10.48
"MRG-UN.TO","26-01-15",10.48
"MRG-UN.TO","27-01-15",10.42
"MRG-UN.TO","28-01-15",10.47
"MRG-UN.TO","29-01-15",10.45
"MRG-UN.TO","30-01-15",10.45
"MRG-UN.TO","02-02-15",10.43
"MRG-UN.TO","03-02-15",10.42
"MRG-UN.TO","04-02-15",10.48
"MRG-UN.TO","05-02-15",10.52
"MRG-UN.TO","06-02-15",10.45
"MRG-UN.TO","09-02-15",10.47
"MRG-UN.TO","10-02-15",10.49
"MRG-UN.TO","11-02-15",10.35
"MRG-UN.TO","12-02-15",10.47
"MRG-UN.TO","13-02-15",10.49
"MRG-UN.TO","17-02-15",10.6
"MRG-UN.TO","18-02-15",10.6
"MRG-UN.TO","19-02-15",10.6
"MRG-UN.TO","20-02-15",10.44
"MRG-UN.TO","23-02-15",10.52
"MRG-UN.TO","24-02-15",10.55
"MRG-UN.TO","25-02-15",10.53
"MRG-UN.TO","26-02-15",10.61
"MRG-UN.TO","27-02-15",10.65
"MRG-UN.TO","02-03-15",10.61
"MRG-UN.TO","03-03-15",10.52
"MRG-UN.TO","04-03-15",10.38
"MRG-UN.TO","05-03-15",10.36
"MRG-UN.TO","06-03-15",10.3
"MRG-UN.TO","09-03-15",10.24
"MRG-UN.TO","10-03-15",10.18
"MRG-UN.TO","11-03-15",10.21
"MRG-UN.TO","12-03-15",10.31
"MRG-UN.TO","13-03-15",10.36
"MRG-UN.TO","16-03-15",10.41
"MRG-UN.TO","17-03-15",10.42
"MRG-UN.TO","18-03-15",10.46
"MRG-UN.TO","19-03-15",10.53
"MRG-UN.TO","20-03-15",10.57
"MRG-UN.TO","23-03-15",10.53
"MRG-UN.TO","24-03-15",10.54
"MRG-UN.TO","25-03-15",10.53
"MRG-UN.TO","26-03-15",10.52
"MRG-UN.TO","27-03-15",10.48
"MRG-UN.TO","30-03-15",10.52
"MRG-UN.TO","31-03-15",10.59
"MRG-UN.TO","01-04-15",10.57
"MRG-UN.TO","02-04-15",10.6
"MRG-UN.TO","06-04-15",10.58
"MRG-UN.TO","07-04-15",10.55
"MRG-UN.TO","08-04-15",10.59
"MRG-UN.TO","09-04-15",10.65
"MRG-UN.TO","10-04-15",10.64
"MRG-UN.TO","13-04-15",10.62
"MRG-UN.TO","14-04-15",10.6
"MRG-UN.TO","15-04-15",10.54
"MRG-UN.TO","16-04-15",10.66
"MRG-UN.TO","17-04-15",10.6
"MRG-UN.TO","20-04-15",10.58
"MRG-UN.TO","21-04-15",10.6
"MRG-UN.TO","22-04-15",10.62
"MRG-UN.TO","23-04-15",10.55
"MRG-UN.TO","24-04-15",10.61
"MRG-UN.TO","27-04-15",10.59
"MRG-UN.TO","28-04-15",10.47
"MRG-UN.TO","29-04-15",10.37
"MRG-UN.TO","30-04-15",10.4
"MRG-UN.TO","01-05-15",10.38
"MRG-UN.TO","04-05-15",10.47
"MRG-UN.TO","05-05-15",10.23
"MRG-UN.TO","06-05-15",10.16
"MRG-UN.TO","07-05-15",10.21
"MRG-UN.TO","08-05-15",10.2
"MRG-UN.TO","11-05-15",10.19
"MRG-UN.TO","12-05-15",10.16
"MRG-UN.TO","13-05-15",10.07
"MRG-UN.TO","14-05-15",10.2
"MRG-UN.TO","15-05-15",10.31
"MRG-UN.TO","18-05-15",10.31
"MRG-UN.TO","19-05-15",10.22
"MRG-UN.TO","20-05-15",10.15
"MRG-UN.TO","21-05-15",10.21
"MRG-UN.TO","22-05-15",10.2
"MRG-UN.TO","25-05-15",10.19
"MRG-UN.TO","26-05-15",10.19
"MRG-UN.TO","27-05-15",10.16
"MRG-UN.TO","28-05-15",10.14
"MRG-UN.TO","29-05-15",10.07
"MRG-UN.TO","01-06-15",10.06
"MRG-UN.TO","02-06-15",10.12
"MRG-UN.TO","03-06-15",10.14
"MRG-UN.TO","04-06-15",10.08
"MRG-UN.TO","05-06-15",9.98
"MRG-UN.TO","08-06-15",9.85
"MRG-UN.TO","09-06-15",9.91
"MRG-UN.TO","10-06-15",10.01
"MRG-UN.TO","11-06-15",9.97
"MRG-UN.TO","12-06-15",9.97
"MRG-UN.TO","15-06-15",9.89
"MRG-UN.TO","16-06-15",9.84
"MRG-UN.TO","17-06-15",9.86
"MRG-UN.TO","18-06-15",9.94
"MRG-UN.TO","19-06-15",9.86
"MRG-UN.TO","22-06-15",9.83
"MRG-UN.TO","23-06-15",9.87
"MRG-UN.TO","24-06-15",9.88
"MRG-UN.TO","25-06-15",9.95
"MRG-UN.TO","26-06-15",9.91
"MRG-UN.TO","29-06-15",9.8
"MRG-UN.TO","30-06-15",9.78
"MRG-UN.TO","01-07-15",9.78
"MRG-UN.TO","02-07-15",9.82
"MRG-UN.TO","03-07-15",9.81
"MRG-UN.TO","06-07-15",9.83
"MRG-UN.TO","07-07-15",9.86
"MRG-UN.TO","08-07-15",9.83
"MRG-UN.TO","09-07-15",9.85
"MRG-UN.TO","10-07-15",9.89
"MRG-UN.TO","13-07-15",9.88
"MRG-UN.TO","14-07-15",9.88
"MRG-UN.TO","15-07-15",9.94
"MRG-UN.TO","16-07-15",10.03
"MRG-UN.TO","17-07-15",10.1
"MRG-UN.TO","20-07-15",10.16
"MRG-UN.TO","21-07-15",10.05
"MRG-UN.TO","22-07-15",10.01
"MRG-UN.TO","23-07-15",9.91
"MRG-UN.TO","24-07-15",9.9
"MRG-UN.TO","27-07-15",9.76
"MRG-UN.TO","28-07-15",10.06
"MRG-UN.TO","29-07-15",9.97
"MRG-UN.TO","30-07-15",9.97
"MRG-UN.TO","31-07-15",10.04
"MRG-UN.TO","03-08-15",10.04
"MRG-UN.TO","04-08-15",10.09
"MRG-UN.TO","05-08-15",10.15
"MRG-UN.TO","06-08-15",10.2
"MRG-UN.TO","07-08-15",10.15
"MRG-UN.TO","10-08-15",10.19
"MRG-UN.TO","11-08-15",10.15
"MRG-UN.TO","12-08-15",10.26
"MRG-UN.TO","13-08-15",10.31
"MRG-UN.TO","14-08-15",10.3
"MRG-UN.TO","17-08-15",10.35
"MRG-UN.TO","18-08-15",10.32
"MRG-UN.TO","19-08-15",10.24
"MRG-UN.TO","20-08-15",10.17
"MRG-UN.TO","21-08-15",10
"MRG-UN.TO","24-08-15",9.87
"MRG-UN.TO","25-08-15",9.95
"MRG-UN.TO","26-08-15",9.94
"MRG-UN.TO","27-08-15",10.02
"MRG-UN.TO","28-08-15",10.04
"MRG-UN.TO","31-08-15",10.04
"MRG-UN.TO","01-09-15",10.03
"MRG-UN.TO","02-09-15",10.1
"MRG-UN.TO","03-09-15",10.09
"MRG-UN.TO","04-09-15",10.06
"MRG-UN.TO","08-09-15",10.04
"MRG-UN.TO","09-09-15",10.03
"MRG-UN.TO","10-09-15",10.03
"MRG-UN.TO","11-09-15",10
"MRG-UN.TO","14-09-15",10.01
"MRG-UN.TO","15-09-15",10.01
"MRG-UN.TO","16-09-15",10.14
"MRG-UN.TO","17-09-15",10.16
"MRG-UN.TO","18-09-15",10.11
"MRG-UN.TO","21-09-15",10.2
"MRG-UN.TO","22-09-15",10.26
"MRG-UN.TO","23-09-15",10.23
"MRG-UN.TO","24-09-15",10.25
"MRG-UN.TO","25-09-15",10.23
"MRG-UN.TO","28-09-15",10.13
"MRG-UN.TO","29-09-15",10.11
"MRG-UN.TO","30-09-15",10.2
"MRG-UN.TO","01-10-15",10.25
"MRG-UN.TO","02-10-15",10.3
"MRG-UN.TO","05-10-15",10.27
"MRG-UN.TO","06-10-15",10.3
"MRG-UN.TO","07-10-15",10.47
"MRG-UN.TO","08-10-15",10.36
"MRG-UN.TO","09-10-15",10.47
"MRG-UN.TO","12-10-15",10.47
"MRG-UN.TO","13-10-15",10.36
"MRG-UN.TO","14-10-15",10.3
"MRG-UN.TO","15-10-15",10.4
"MRG-UN.TO","16-10-15",10.45
"MRG-UN.TO","19-10-15",10.46
"MRG-UN.TO","20-10-15",10.46
"MRG-UN.TO","21-10-15",10.58
"MRG-UN.TO","22-10-15",10.61
"MRG-UN.TO","23-10-15",10.59
"MRG-UN.TO","26-10-15",10.53
"MRG-UN.TO","27-10-15",10.5
"MRG-UN.TO","28-10-15",10.49
"MRG-UN.TO","29-10-15",10.52
"MRG-UN.TO","30-10-15",10.52
"MRG-UN.TO","02-11-15",10.6
"MRG-UN.TO","03-11-15",10.71
"MRG-UN.TO","04-11-15",10.55
"MRG-UN.TO","05-11-15",10.66
"MRG-UN.TO","06-11-15",10.68
"MRG-UN.TO","09-11-15",10.74
"MRG-UN.TO","10-11-15",10.77
"MRG-UN.TO","11-11-15",10.8
"MRG-UN.TO","12-11-15",10.73
"MRG-UN.TO","13-11-15",10.64
"MRG-UN.TO","16-11-15",10.56
"MRG-UN.TO","17-11-15",10.53
"MRG-UN.TO","18-11-15",10.59
"MRG-UN.TO","19-11-15",10.68
"MRG-UN.TO","20-11-15",10.61
"MRG-UN.TO","23-11-15",10.74
"MRG-UN.TO","24-11-15",10.85
"MRG-UN.TO","25-11-15",10.89
"MRG-UN.TO","26-11-15",10.89
"MRG-UN.TO","27-11-15",10.83
"MRG-UN.TO","30-11-15",10.83
"MRG-UN.TO","01-12-15",10.83
"MRG-UN.TO","02-12-15",10.85
"MRG-UN.TO","03-12-15",10.84
"MRG-UN.TO","04-12-15",10.68
